names,data_types
user_id,VARCHAR
status_id,VARCHAR
created_at,TIMESTAMP WITHOUT TIME ZONE
screen_name,VARCHAR
text,VARCHAR
source,VARCHAR
display_text_width,VARCHAR
reply_to_status_id,VARCHAR
reply_to_user_id,VARCHAR
reply_to_screen_name,VARCHAR
is_quote,VARCHAR
is_retweet,VARCHAR
favorite_count,VARCHAR
retweet_count,VARCHAR
hashtags,VARCHAR
symbols,VARCHAR
urls_url,VARCHAR
urls_tco,VARCHAR
urls_expanded_url,VARCHAR
media_url,VARCHAR
media_tco,VARCHAR
media_expanded_url,VARCHAR
media_type,VARCHAR
ext_media_url,VARCHAR
ext_media_tco,VARCHAR
ext_media_expanded_url,VARCHAR
ext_media_type,VARCHAR
mentions_user_id,VARCHAR
mentions_screen_name,VARCHAR
lang,VARCHAR
quoted_status_id,VARCHAR
quoted_text,VARCHAR
quoted_created_at,VARCHAR
quoted_source,VARCHAR
quoted_favorite_count,VARCHAR
quoted_retweet_count,VARCHAR
quoted_user_id,VARCHAR
quoted_screen_name,VARCHAR
quoted_name,VARCHAR
quoted_followers_count,VARCHAR
quoted_friends_count,VARCHAR
quoted_statuses_count,VARCHAR
quoted_location,VARCHAR
quoted_description,VARCHAR
quoted_verified,VARCHAR
retweet_status_id,VARCHAR
retweet_text,VARCHAR
retweet_created_at,VARCHAR
retweet_source,VARCHAR
retweet_favorite_count,VARCHAR
retweet_retweet_count,VARCHAR
retweet_user_id,VARCHAR
retweet_screen_name,VARCHAR
retweet_name,VARCHAR
retweet_followers_count,VARCHAR
retweet_friends_count,VARCHAR
retweet_statuses_count,VARCHAR
retweet_location,VARCHAR
retweet_description,VARCHAR
retweet_verified,VARCHAR
place_url,VARCHAR
place_name,VARCHAR
place_full_name,VARCHAR
place_type,VARCHAR
country,VARCHAR
country_code,VARCHAR
geo_coords,VARCHAR
coords_coords,VARCHAR
bbox_coords,VARCHAR
status_url,VARCHAR
name,VARCHAR
location,VARCHAR
description,VARCHAR
url,VARCHAR
protected,VARCHAR
followers_count,VARCHAR
friends_count,VARCHAR
listed_count,VARCHAR
statuses_count,VARCHAR
favourites_count,VARCHAR
account_created_at,VARCHAR
verified,VARCHAR
profile_url,VARCHAR
profile_expanded_url,VARCHAR
account_lang,VARCHAR
profile_banner_url,VARCHAR
profile_background_url,VARCHAR
profile_image_url,VARCHAR
date,DATE
